archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include
0,101,Last Days of Napoleon by Vincenzo Vela,Italian Fine Arts Section,Palais,Sculpture,Francois Brunet,Confident,6.225086541,37.24878803,Seen from 1044 Alt view 368 0,True
2,159,Jardin Central Sculptures,Central Garden,Central Garden,Sculpture,Francois Brunet,Confident,30.81346264,0.023832094,Alt view 378 3 4,True
3,206,Italian Fine Arts No. 28,Italian Fine Arts Section,Palais,Painting Sculpture,Francois Brunet,Confident,4.442371543,44.33990341,Row of sculptures,True
4,164,The Kiss,Central Garden,Central Garden,Sculpture,Francois Brunet,Confident,55.10660801,1.238489362,Alt view 378 3 4,True
5,215,Cannon Krupp,Prussian Section,Palais,Machine,Francois Brunet,approximate,-179.1271106,7.988717308,alt view 1073 5,True
6,220,Gallery of Industry Italian Section,Italian Section,Palais,Machine,Francois Brunet,Confident,1.893836248,165.354802,Weird Damage in ceiling,True
7,204,Piety by Jean Dupre,French Fine Arts Section,Palais,Sculpture,Francois Brunet,Arbitrary,-85.63445545,-27.07023452,Sculpture Close up,True
8,245,Italian Fine Arts No. 41,Italian Fine Arts Section,Palais,Sculpture,Francois Brunet,approximate,12.65354493,57.56913475,,True
9,211,Italian Fine Arts No. 29,Papal States (Rome) Fine Arts Section,Palais,Painting Sculpture,Francois Brunet,Confident,31.87037744,41.35584311,Alt View 1044 1123 9 379 211 1042 123 inconsistent,True
10,252,Italian Statues and Russian Costumes,Italian Section ,Palais,Sculpture Costume,Francois Brunet,somewhat confident,4.587819025,85.04260293,Row of sculptures,True
11,288,The Mosque,Ottoman Park,Parc,Architecture,Francois Brunet,remove,231.5794325,121.8361733,Dupe of 1120,False
12,240,Italian Fine Arts No. 39,Italian Fine Arts Section,Palais,Painting Sculpture,Francois Brunet,Confident,17.70182266,37.36197715,Alt View 1044 1123 9 379 211 1042 123 inconsistent. The sculptures move between all of these but the rooms can be identified from paintings on the walls.,True
13,286,Aerial View of Ottoman and Egyptian Parks,Ottoman Park,Parc,Architecture Landscape,Francois Brunet,Confident,228.6150955,109.9788254,Alt view 11 422 13 313 1120 ,True
14,287,Replica of the Temple of Edfu ,Egyptian Park,Parc,Architecture,Francois Brunet,Confident,254.3060158,145.0568128,Alt view 1116,True
15,297,Aerial View of the Park from Circle International,Exposition Grounds,Parc,Landscape,Francois Brunet,Confident,452.6409193,73.44286398,capture point seen from 266,True
16,313,Perfumes,French Section,Palais,Painting Sculpture Perfume,Francois Brunet,Confident,-96.09352228,-75.65283601,,True
17,336,East India Company Pavillion,French Park,Parc,Architecture,Francois Brunet,Confident,267.094182,-158.6407736,,True
18,366,Austrian Crystal,Austrian Section,Palais,Crystal,Francois Brunet,approximate,-85.98536473,90.76358676,,True
19,390,Labour Gallery Ottoman Section,Ottoman Section,Palais,Architecture,Francois Brunet,Confident,36.36233757,140.2225605,,True
20,444,Emperor's Pavillion,French Park,Parc,Architecture,Francois Brunet,Confident,276.7239682,-5.28269897,20 48,True
21,480,Labour Gallery Japanese Section,Japanese Section,Palais,Architecture Animal,Francois Brunet,Confident,12.71101776,166.1960491,,True
22,648,The Little Fisherman by Cambos,Papal States (Rome) Fine Arts Section,Palais,Sculpture,Francois Brunet,Confident,27.92024002,38.00460961,Sculpture Close up,True
23,699,La Cigale by Cambos,Italian Fine Arts Section,Palais,Sculpture,Francois Brunet, Arbitrary,45.552845,37.91035712,Sculpture Close up,True
30,NA (6138),Italian Fine Arts,Italian Section ,Palais,Sculpture,Francois Brunet,Confident,3.249726558,111.0396771,Row of sculptures,True
25,,Reserved Garden,Horticultural Gardens,Parc,Architecture,Francois Brunet,Confident,-245.7257272,-222.6815161,,True
43,75,Prussian Fine Arts No. 2,Prussian Fine Arts Section,Palais,Painting Sculpture,Francois Brunet,approximate,-93.31274308,23.04887673,,True
46,513,Distribution of Awards. Group 3 Furniture,Palais de l'Industrie (External Venue),Palais de l'Industrie (External Venue),Furniture Household goods,Francois Brunet,Offsite,573.649723,4.57075051,Awards,True
47,490,Labour Gallery Ottoman Empire,Ottoman Section,Palais,Architecture,Francois Brunet,Confident,29.7989037,149.8558581,,True
